customerid,gender,paperlessbilling,paymentmethod,children,contract_date,married,birth_date,churn_date,country,zipcode,contract_channel,billing_date,monthlycharges,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,phone_lines,streaming,date,tenure_months,tenure_penalty,age
000dad6dae45218f7d4e711a1d126dc6,Female,Yes,Credit card (automatic),0,2021-07-22,Yes,1966-06-01,,ES,13448,Internet,2023-01-31,95.95,Fiber optic,No,No,Yes,No,1.0,Yes,2023-01-31,14,212.86,58
0019b3ed6a2a741ac2971152853e6e56,Male,No,Electronic check,0,2021-01-11,No,1998-07-07,,ES,18583,Internet,2023-01-31,24.6,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,10,161.78,26
0021e6f58a285c6415af5f8cd1521396,Male,No,Bank transfer (automatic),0,2017-01-27,Yes,2001-12-08,,ES,05647,Phone,2023-01-31,115.15,Fiber optic,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,4,83.36,23
0024ef9d9a0f7840e79a3b476eaeed60,Female,Yes,Electronic check,0,2021-07-09,No,1936-01-14,2023-07-18,ES,36017,Internet,2023-01-31,85.45,Fiber optic,No,Yes,No,Yes,2.0,No,2023-01-31,3,72.81,89
004f6098ebc2a66af3fd6959327a6e6a,Male,Yes,Electronic check,2,2020-02-04,Yes,1991-12-06,,ES,24365,Phone,2023-01-31,89.7,Fiber optic,No,Yes,No,Yes,1.0,Yes,2023-01-31,7,86.53,33
004ff50a0a4becfa2efb5c4ce3836f56,Male,No,Bank transfer (automatic),1,2017-01-18,Yes,1992-06-14,,ES,50063,Store,2023-01-31,69.85,DSL,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,4,90.19,32
0053e16364e77b0e1f55520c5823f0b9,Male,Yes,Bank transfer (automatic),0,2017-07-16,Yes,1982-02-23,,ES,47543,Phone,2023-01-31,56.6,DSL,Yes,Yes,Yes,Yes,0.0,Yes,2023-01-31,9,141.81,42
006825085578128425c848fe39c449c6,Male,No,Bank transfer (automatic),0,2022-12-04,No,1989-04-15,2023-07-18,ES,51304,Store,2023-01-31,24.8,DSL,No,No,No,No,0.0,No,2023-01-31,1,10.86,35
0076dabd55ee9f18790c8e9e8f0a3b41,Male,No,Mailed check,1,2019-07-19,Yes,2010-12-09,,ES,10395,Store,2023-01-31,20.25,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,12,191.2,14
0080689b494ce23efa5eb6874aabf27b,Male,Yes,Mailed check,0,2022-04-18,Yes,1983-11-03,,ES,23117,Internet,2023-01-31,68.95,DSL,Yes,Yes,No,Yes,1.0,Yes,2023-01-31,9,157.38,41
