customerid,gender,paperlessbilling,paymentmethod,children,contract_date,married,birth_date,churn_date,country,zipcode,contract_channel,billing_date,monthlycharges,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,phone_lines,streaming,date,tenure_months,tenure_penalty,age,probabilidad_churn,nivel_riesgo
dd4e93872ab4b8d514cd59295c2adbe9,Female,Yes,Mailed check,0,2019-11-15,No,1988-11-19,,ES,44167,Store,2023-01-31,89.1,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,4,42.88,36,0.9959988594405172,Muy Alto
8511fdf8747b5f31763946ca5bb51e86,Female,Yes,Electronic check,0,2022-08-24,No,2000-03-01,,ES,39060,Store,2023-01-31,84.0,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,3,71.36,24,0.9959954490532464,Muy Alto
289f3d847228dd2cb9e17274ef21972e,Female,Yes,Electronic check,2,2021-02-14,Yes,1995-07-25,,ES,33016,Internet,2023-01-31,83.75,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,3,39.01,29,0.9951461163504188,Muy Alto
3c4389b2f3a6ff3117a7863c458852cd,Male,Yes,Electronic check,0,2022-05-21,No,1956-05-14,,ES,42094,Internet,2023-01-31,69.7,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,60.21,68,0.995,Muy Alto
ea53112bc87b51c85ca011839a7eff98,Male,Yes,Electronic check,2,2017-05-27,Yes,1999-08-04,,ES,30197,Store,2023-01-31,99.55,Fiber optic,Yes,No,No,Yes,1.0,Yes,2023-01-31,3,55.5,25,0.992468260348404,Muy Alto
e779e7cf22fb698dd8711e07a6e9c211,Female,Yes,Electronic check,0,2021-08-27,No,1954-03-24,,ES,2622,Store,2023-01-31,94.2,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,3,74.29,70,0.9907259544681541,Muy Alto
619891c49e743ff327f3f7947c3f3dc3,Female,Yes,Electronic check,0,2021-06-05,Yes,1974-07-27,,ES,50160,Internet,2023-01-31,96.8,Fiber optic,No,No,Yes,No,1.0,Yes,2023-01-31,3,61.93,50,0.9903572360939369,Muy Alto
92047d62d46bfef68a22329c80df402f,Female,Yes,Credit card (automatic),0,2020-11-24,No,1982-02-20,,ES,46522,Phone,2023-01-31,69.05,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,55.41,42,0.99,Muy Alto
564287f26dbc5b7b251a16fcfecc6626,Female,Yes,Electronic check,0,2022-10-21,No,1989-04-27,,ES,28220,Phone,2023-01-31,54.2,DSL,No,No,No,No,1.0,Yes,2023-01-31,3,46.7,35,0.9889493255883152,Muy Alto
46bebb75cb35ecae421dc7ac08ddd5c1,Male,Yes,Electronic check,0,2022-09-12,No,1938-11-01,,ES,5029,Phone,2023-01-31,70.65,Fiber optic,No,No,No,No,1.0,No,2023-01-31,4,77.47,86,0.9888713749114177,Muy Alto
28227e725d9f3529776e6cb4e4bb352b,Male,Yes,Electronic check,0,2021-04-03,No,1965-02-27,,ES,25356,Phone,2023-01-31,84.1,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,5,84.12,59,0.9867224990909352,Muy Alto
f8e35b56dcf22af9299f63409aa0d0e2,Female,Yes,Electronic check,0,2018-11-28,No,1996-11-11,,ES,2376,Store,2023-01-31,95.7,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,3,60.85,28,0.9841626656113202,Muy Alto
7f067705789232b24b0efc067e9a223e,Female,Yes,Electronic check,0,2022-01-26,No,2000-07-15,,ES,43042,Store,2023-01-31,89.15,Fiber optic,No,Yes,No,No,2.0,Yes,2023-01-31,4,66.61,24,0.9834853943679898,Muy Alto
96a93a9e4f0daa42f74b42a4d62a856b,Female,Yes,Mailed check,0,2022-12-11,No,1989-11-26,,ES,29474,Phone,2023-01-31,70.7,Fiber optic,No,No,No,No,1.0,No,2023-01-31,4,73.22,35,0.983378755532901,Muy Alto
54284fdf26d60e2abf2234445628633e,Female,Yes,Electronic check,0,2021-06-16,No,1999-11-15,,ES,33263,Store,2023-01-31,39.7,DSL,No,Yes,No,No,0.0,Yes,2023-01-31,4,46.54,25,0.9833504270672347,Muy Alto
88a99fbb84fe1a3cc49c0ba413ef51be,Male,No,Electronic check,0,2020-11-28,No,1982-11-18,,ES,19318,Phone,2023-01-31,45.45,DSL,No,No,No,No,1.0,No,2023-01-31,3,48.82,42,0.9829415673817222,Muy Alto
5e941cb8c6e683aa55769c53b2dca791,Female,Yes,Electronic check,0,2020-06-06,No,1981-04-24,,ES,50529,Phone,2023-01-31,76.05,Fiber optic,No,No,No,No,2.0,No,2023-01-31,3,77.45,43,0.9827933916968274,Muy Alto
0551d54dcfa520b0f23f71b11d5f90d6,Female,Yes,Electronic check,0,2022-10-19,No,1994-04-27,,ES,6430,Store,2023-01-31,70.15,Fiber optic,No,No,No,No,1.0,No,2023-01-31,5,83.2,30,0.9797859732360682,Muy Alto
85efaf40902ffee770e7d74e060b39b8,Male,Yes,Electronic check,0,2020-07-14,Yes,1949-02-16,,ES,27229,Phone,2023-01-31,101.5,Fiber optic,No,No,No,Yes,2.0,Yes,2023-01-31,4,52.26,75,0.9796776275410228,Muy Alto
eb91df7fdc511850313dbc73e119967c,Male,Yes,Mailed check,0,2018-11-11,No,2003-10-27,,ES,32125,Phone,2023-01-31,35.4,DSL,Yes,No,No,Yes,0.0,No,2023-01-31,3,62.12,21,0.9796666895679551,Muy Alto
733bfa5962d0f61825bf7bb7bbfe3d1d,Female,Yes,Electronic check,0,2022-10-13,Yes,1950-04-07,,ES,3405,Store,2023-01-31,30.75,DSL,No,Yes,No,No,0.0,No,2023-01-31,3,54.24,74,0.9794276519701195,Muy Alto
7fd4f58a052d921457e1fdb240698dd9,Female,Yes,Credit card (automatic),2,2021-09-17,Yes,1974-08-19,,ES,22402,Store,2023-01-31,79.95,Fiber optic,No,Yes,No,No,2.0,No,2023-01-31,4,47.5,50,0.9787559200916455,Muy Alto
7d4bda19a022b8faecd9ffa5348cd4b8,Male,Yes,Credit card (automatic),0,2021-02-19,No,2001-07-21,,ES,28550,Phone,2023-01-31,99.95,Fiber optic,Yes,No,Yes,No,1.0,Yes,2023-01-31,3,44.75,23,0.9779429417669019,Muy Alto
0cd8b664b21771fb8791d99043e39a8b,Male,Yes,Electronic check,0,2017-01-04,Yes,1976-05-07,,ES,42029,Phone,2023-01-31,94.65,Fiber optic,No,No,Yes,No,1.0,Yes,2023-01-31,3,33.44,48,0.9765608446764321,Muy Alto
